BJD,mean_velocity,velocity_error
2456138.960111,12.404249810853,3.21964406967163
2456202.74719,-14.5963141891602,4.39822244644165
2456880.986613,-3.47631548460235,4.03610754013062
2456892.948262,-4.73971625662051,3.29025220870972
2456909.872368,-4.73468194423096,3.24858331680298
2456912.827319,-1.9966392005072,3.47713494300842
2457151.077157,5.93742489768356,3.54778790473938
2457180.097595,-0.425009302275541,3.53474259376526
2457208.096426,9.76505923893274,3.71352291107178
2457232.984981,-5.46596337909981,3.42335081100464
2457243.082964,-13.4942820872152,4.02084493637085
2458294.878483,6.23869498097261,3.31546902656555
2458322.919588,-0.946008986397269,4.99050235748291
2458329.871325,9.99261905690156,3.52835369110107
2458337.067316,-8.29972485381556,3.82774949073792
2458383.960506,1.59233159057487,4.1320366859436
2458391.919851,7.79636082371804,3.7557065486908
2458395.857491,8.37888837501965,3.60283136367798
2458723.006589,3.68386120816361,3.57544469833374
2459478.904109,4.31192567985581,3.66722750663757
2459481.905374,-0.0409648147076069,3.53560853004456
2459484.862818,-0.395656064742052,3.37570691108704
2459489.803662,-18.7982185582625,3.68359160423279
2459497.749138,-5.07544385997046,3.40241837501526
2459498.86784,8.89878430687106,3.40831613540649
